id,v_type,k,v
247974980,<type 'str'>,highway,traffic_signals
247976436,<type 'str'>,amenity,restaurant
247976436,<type 'str'>,created_by,JOSM
247982353,<type 'str'>,addr:street,Bannerghatta Road
247983311,<type 'str'>,created_by,JOSM
247983314,<type 'str'>,created_by,JOSM
247983360,<type 'str'>,created_by,JOSM
247983381,<type 'str'>,created_by,JOSM
247983383,<type 'str'>,created_by,JOSM
247983398,<type 'str'>,created_by,JOSM
247983406,<type 'str'>,created_by,JOSM
247983409,<type 'str'>,created_by,JOSM
247983699,<type 'str'>,created_by,JOSM
247983714,<type 'str'>,created_by,JOSM
247984424,<type 'str'>,created_by,JOSM
247984425,<type 'str'>,created_by,JOSM
247984564,<type 'str'>,created_by,JOSM
247984806,<type 'str'>,created_by,JOSM
247984812,<type 'str'>,created_by,JOSM
247984992,<type 'str'>,amenity,restaurant
247984992,<type 'str'>,cuisine,indian
247984992,<type 'str'>,name,Adigas
247984992,<type 'unicode'>,name:kn,ಅಡಿಗಾಸ್
247985016,<type 'str'>,created_by,JOSM
247985032,<type 'str'>,created_by,JOSM
247986013,<type 'str'>,amenity,theatre
247986013,<type 'str'>,created_by,Potlatch 0.7b
247986013,<type 'str'>,name,Open Air Theatre
247987775,<type 'str'>,created_by,JOSM
247989014,<type 'str'>,created_by,JOSM
247989018,<type 'str'>,created_by,JOSM
247989224,<type 'str'>,crossing,traffic_signals
247989224,<type 'str'>,highway,traffic_signals
247991553,<type 'str'>,crossing,traffic_signals
247991553,<type 'str'>,highway,traffic_signals
247991553,<type 'str'>,name,Sagar Hospital Junction
247991562,<type 'str'>,highway,bus_stop
247991562,<type 'str'>,name,Anepalya
247991562,<type 'unicode'>,name:kn,ಆನೆಪಾಳ್ಯ
247991563,<type 'str'>,highway,traffic_signals
248003859,<type 'str'>,created_by,JOSM
248003860,<type 'str'>,created_by,JOSM
248003861,<type 'str'>,created_by,JOSM
248003862,<type 'str'>,created_by,JOSM
248003863,<type 'str'>,created_by,JOSM
248128247,<type 'str'>,building,residential
248128247,<type 'str'>,name,Haydon Manor
248181109,<type 'str'>,highway,traffic_signals
248181114,<type 'str'>,highway,traffic_signals
248455235,<type 'str'>,created_by,JOSM
248455254,<type 'str'>,created_by,JOSM
248455255,<type 'str'>,created_by,JOSM
248455289,<type 'str'>,created_by,JOSM
248455292,<type 'str'>,created_by,JOSM
248455298,<type 'str'>,created_by,JOSM
248455303,<type 'str'>,created_by,JOSM
248455307,<type 'str'>,created_by,JOSM
248455311,<type 'str'>,created_by,JOSM
248455433,<type 'str'>,highway,traffic_signals
248455433,<type 'str'>,junction,yes
248455433,<type 'str'>,name,Richmond Circle
248455433,<type 'unicode'>,name:kn,ರಿಚ್ಮಂಡ್ ವೃತ್ತ
248455435,<type 'str'>,created_by,JOSM
248455439,<type 'str'>,created_by,JOSM
248455440,<type 'str'>,created_by,JOSM
248455441,<type 'str'>,highway,traffic_signals
248455441,<type 'str'>,junction,yes
248455441,<type 'str'>,name,St Josephs Junction
248455443,<type 'str'>,created_by,JOSM
248455444,<type 'str'>,created_by,JOSM
248455445,<type 'str'>,created_by,JOSM
248455446,<type 'str'>,created_by,JOSM
248455465,<type 'str'>,highway,traffic_signals
248455465,<type 'str'>,junction,yes
248455465,<type 'str'>,name,Cash Pharmacy Junction
248455469,<type 'str'>,created_by,JOSM
248455470,<type 'str'>,created_by,JOSM
248455479,<type 'str'>,created_by,JOSM
248455485,<type 'str'>,highway,traffic_signals
248459804,<type 'str'>,created_by,JOSM
248459807,<type 'str'>,created_by,JOSM
248459838,<type 'str'>,created_by,JOSM
248462886,<type 'str'>,created_by,JOSM
248462888,<type 'str'>,created_by,JOSM
248462889,<type 'str'>,created_by,JOSM
248462897,<type 'str'>,created_by,JOSM
248462898,<type 'str'>,created_by,JOSM
248462903,<type 'str'>,created_by,JOSM
248462911,<type 'str'>,created_by,JOSM
248462924,<type 'str'>,created_by,JOSM
